in_week,median
0.00869213,31.0
0.01869213,31.0
0.019293981,31.0
0.040474537,31.0
0.040925926,31.0
0.044594907,31.0
0.045729167,31.0
0.065115741,31.0
0.075960648,31.0
0.076886574,31.0
0.077893519,30.5
0.079074074,30.5
0.079733796,30.5
0.090474537,30.0
0.090798611,30.0
0.101909722,30.0
0.105092593,30.0
0.105277778,30.0
0.114085648,30.0
0.12431713,30.0
0.162615741,30.0
0.18525463,30.0
0.185844907,30.0
0.191608796,30.0
0.192789352,30.0
0.194016204,30.0
0.194398148,30.0
0.205717593,30.0
0.208622685,30.0
0.211203704,30.0
0.211909722,30.0
0.214456019,30.0
0.22068287,30.0
0.223356481,30.0
0.233483796,30.0
0.234050926,30.0
0.240405093,30.0
0.242303241,30.0
0.242418981,29.5
0.245717593,29.5
0.260497685,29.5
0.262407407,29.5
0.281909722,29.5
0.289398148,29.5
0.294756944,29.5
0.345162037,29.5
0.353391204,29.5
0.356886574,29.5
0.359756944,29.0
0.359780093,29.0
0.362893519,29.0
0.364189815,29.0
0.366030093,29.0
0.367650463,29.0
0.380520833,29.0
0.383310185,29.0
0.386145833,29.0
0.394490741,29.0
0.407986111,29.0
0.40849537,29.0
0.40869213,29.0
0.414826389,29.0
0.415138889,29.0
0.417233796,29.0
0.417291667,29.0
0.420763889,28.5
0.421516204,28.0
0.424270833,28.0
0.424583333,28.0
0.424895833,28.0
0.425266204,28.0
0.426956019,28.0
0.427685185,28.0
0.430543981,28.0
0.431099537,28.0
0.431921296,28.0
0.432824074,28.0
0.433287037,28.0
0.434363426,28.0
0.437395833,28.0
0.437858796,28.0
0.43806713,28.0
0.438715278,28.0
0.440462963,28.0
0.443425926,28.0
0.443946759,28.0
0.445509259,28.0
0.446261574,28.0
0.447835648,28.0
0.449652778,28.0
0.450648148,28.0
0.451365741,28.0
0.452534722,27.5
0.453240741,27.0
0.455856481,26.5
0.456701389,26.0
0.458414352,25.5
0.461990741,25.5
0.463009259,25.5
0.463888889,25.5
0.464826389,25.5
0.478657407,25.5
0.479907407,25.0
0.505729167,25.0
0.511469907,25.0
0.512141204,25.0
0.512523148,25.0
0.514976852,25.0
0.555902778,25.0
0.556712963,25.0
0.562476852,25.0
0.622546296,25.0
0.622743056,25.0
0.62275463,25.0
0.64994213,25.0
0.649976852,25.0
0.650011574,25.0
0.65005787,25.0
0.802013889,25.0
0.802430556,25.0
0.817233796,25.0
0.871469907,24.5
0.872337963,24.5
0.876481481,24.5
0.894675926,24.5
0.896643519,24.5
0.922025463,24.5
0.952604167,24.5
0.962662037,24.5
0.974791667,24.0
0.977152778,24.0
0.982511574,24.0
0.989039352,24.0
0.990358796,24.0
1.005752315,24.0
1.023680556,24.0
1.025358796,24.0
1.036354167,24.0
1.040162037,23.5
1.046296296,23.5
1.059664352,23.5
1.063125,23.5
1.094444444,23.5
1.105694444,23.5
1.130208333,23.5
1.132361111,23.5
1.134618056,23.5
1.141782407,23.5
1.141793981,23.0
1.142488426,22.5
1.15318287,22.5
1.161087963,22.0
1.163287037,22.0
1.170358796,22.0
1.205902778,22.0
1.209953704,22.0
1.254594907,22.0
1.254664352,22.0
1.264837963,22.0
1.268298611,21.5
1.291875,21.5
1.293148148,21.5
1.293344907,21.5
1.294027778,21.5
1.329699074,21.5
1.329907407,21.5
1.333032407,21.5
1.33681713,21.5
1.343912037,21.5
1.381203704,21.5
1.381805556,21.5
1.390474537,21.0
1.390486111,20.5
1.390532407,20.5
1.390694444,20.5
1.390925926,20.5
1.420671296,20.5
1.427141204,20.5
1.428356481,20.5
1.430381944,20.5
1.434351852,20.5
1.436446759,20.5
1.446712963,20.5
1.448287037,20.0
1.450069444,20.0
1.450115741,20.0
1.450497685,20.0
1.450601852,20.0
1.452222222,19.5
1.455034722,19.0
1.456273148,18.5
1.456851852,18.5
1.468344907,18.5
1.505868056,18.5
1.506296296,18.5
1.506377315,18.5
1.522743056,18.5
1.59056713,18.5
1.811134259,18.5
1.923923611,18.5
1.93212963,18.5
1.932280093,18.5
1.932303241,18.5
1.946087963,18.5
1.946354167,18.0
1.946724537,17.5
1.947002315,17.0
1.965925926,16.5
1.972418981,16.5
1.992708333,16.5
1.995393519,16.5
2.000509259,16.5
2.00537037,16.5
2.027372685,16.5
2.0428125,16.5
2.051631944,16.5
2.059155093,16.5
2.059618056,16.5
2.061273148,16.5
2.061342593,16.0
2.062083333,16.0
2.071226852,16.0
2.081041667,16.0
2.085706019,16.0
2.089618056,16.0
2.091435185,16.0
2.093877315,16.0
2.140034722,16.0
2.160173611,16.0
2.167916667,16.0
2.181122685,16.0
2.181458333,16.0
2.185648148,16.0
2.188622685,16.0
2.202685185,16.0
2.210833333,16.0
2.216064815,16.0
2.218622685,16.0
2.225289352,16.0
2.241030093,16.0
2.246400463,16.0
2.249675926,16.0
2.280486111,16.0
2.280752315,16.0
2.305104167,16.0
2.306099537,16.0
2.313333333,16.0
2.315196759,16.0
2.32369213,16.0
2.324606481,16.0
2.32587963,16.0
2.326331019,16.0
2.328344907,16.0
2.3296875,16.0
2.351747685,16.0
2.355983796,16.0
2.38099537,15.5
2.38912037,15.5
2.390324074,15.5
2.39787037,15.5
2.398356481,15.5
2.419664352,15.5
2.442314815,15.0
2.447638889,15.0
2.503344907,15.0
2.51849537,15.0
2.521377315,15.0
2.522210648,15.0
2.570104167,15.0
2.59625,15.0
2.597106481,15.0
2.597881944,15.0
2.6096875,15.0
2.830555556,14.5
2.83068287,14.5
2.830891204,14.5
2.831122685,14.5
2.831238426,14.5
2.845023148,14.5
2.85037037,14.5
2.873425926,14.5
2.88369213,14.5
2.899803241,14.5
2.900011574,14.5
2.903460648,14.5
2.907418981,14.5
2.908310185,14.0
2.912071759,14.0
2.924479167,14.0
2.946064815,14.0
2.952835648,13.5
2.954733796,13.5
2.955231481,13.0
2.958113426,13.0
2.958449074,12.5
2.96,12.5
2.960509259,12.5
2.969780093,12.5
2.970127315,12.5
2.974178241,12.5
2.974259259,12.5
2.983275463,12.5
2.988090278,12.5
3.002337963,12.5
3.016203704,12.5
3.018912037,12.5
3.019386574,12.5
3.021354167,12.5
3.021886574,12.5
3.023483796,12.5
3.024421296,12.0
3.026875,12.0
3.031701389,12.0
3.034976852,12.0
3.039282407,12.0
3.043344907,11.5
3.044652778,11.5
3.061770833,11.5
3.063321759,11.0
3.063923611,11.0
3.073506944,10.5
3.078611111,10.0
3.099872685,10.0
3.101666667,10.0
3.102928241,10.0
3.105532407,10.0
3.107025463,10.0
3.1090625,10.0
3.118090278,10.0
3.128506944,10.0
3.133020833,10.0
3.133449074,10.0
3.134537037,10.0
3.14181713,10.0
3.143275463,10.0
3.151134259,10.0
3.153402778,10.0
3.154282407,10.0
3.157106481,10.0
3.158553241,10.0
3.167627315,10.0
3.180543981,10.0
3.180983796,10.0
3.182997685,10.0
3.183113426,10.0
3.208020833,10.0
3.209537037,10.0
3.211539352,10.0
3.217037037,10.0
3.231354167,10.0
3.243564815,10.0
3.250752315,10.0
3.252743056,10.0
3.261388889,10.0
3.261574074,9.5
3.268240741,9.5
3.27162037,9.5
3.272418981,9.5
3.289178241,9.5
3.290659722,9.5
3.293356481,9.5
3.298993056,9.5
3.324965278,9.5
3.366539352,9.5
3.371203704,9.5
3.371851852,9.5
3.434525463,9.5
3.46625,9.5
3.480578704,9.5
3.488206019,9.5
3.539363426,9.5
3.87994213,9.5
3.90318287,9.5
3.9215625,9.5
3.930648148,9.5
3.950023148,9.5
3.953483796,9.5
3.95412037,9.5
3.955428241,9.5
3.979710648,9.5
3.979803241,9.5
3.98,9.5
3.988854167,9.5
4.015219907,9.5
4.016215278,9.5
4.018090278,9.5
4.023668981,9.5
4.023958333,9.5
4.026226852,9.5
4.054224537,9.5
4.077453704,9.5
4.082673611,9.5
4.085474537,9.5
4.087048611,9.5
4.112118056,9.5
4.138865741,9.5
4.140208333,9.5
4.142071759,9.5
4.168576389,9.0
4.172337963,9.0
4.225821759,9.0
4.225902778,9.0
4.228148148,9.0
4.238055556,9.0
4.245671296,9.0
4.275532407,9.0
4.282025463,9.0
4.306319444,9.0
4.316863426,8.5
4.337164352,8.5
4.337800926,8.5
4.338599537,8.5
4.33875,8.5
4.338761574,8.5
4.396331019,8.5
4.397361111,8.5
4.400636574,8.5
4.400983796,8.5
4.458738426,8.5
4.482337963,8.5
4.869502315,8.5
4.925613426,8.5
4.97787037,8.5
4.977997685,8.5
4.978125,8.5
4.978136574,8.0
5.009953704,7.5
5.048611111,7.5
5.115046296,7.5
5.150243056,7.0
5.183402778,7.0
5.188206019,7.0
5.196296296,7.0
5.201770833,7.0
5.233321759,6.5
5.233333333,6.5
5.271759259,6.5
5.282789352,6.5
5.296689815,6.5
5.304421296,6.5
5.319525463,6.5
5.342384259,6.5
5.384606481,6.5
5.384618056,6.0
5.388310185,6.0
5.40224537,6.0
5.486493056,6.0
5.487662037,6.0
5.487835648,6.0
5.489791667,6.0
5.502592593,5.5
5.833831019,5.0
5.83443287,5.0
5.873136574,5.0
5.896215278,5.0
5.89662037,5.0
5.916493056,5.0
5.92087963,4.5
5.9253125,4.5
5.925335648,4.5
5.933935185,4.5
5.933946759,4.5
5.93412037,4.5
5.934155093,4.5
5.951585648,4.5
5.959976852,4.5
5.964675926,4.5
5.968425926,4.5
5.991122685,4.5
6.023206019,4.0
6.029305556,4.0
6.03462963,4.0
6.041828704,4.0
6.047060185,4.0
6.056527778,4.0
6.057418981,4.0
6.060196759,4.0
6.064664352,4.0
6.068159722,3.5
6.0684375,3.5
6.068587963,3.5
6.0734375,3.5
6.098946759,3.5
6.123611111,3.5
6.127152778,3.5
6.133275463,3.5
6.148761574,3.0
6.149097222,3.0
6.153159722,3.0
6.154305556,3.0
6.172094907,3.0
6.2021875,3.0
6.206840278,3.0
6.213877315,3.0
6.218738426,3.0
6.229305556,3.0
6.234039352,3.0
6.2365625,3.0
6.248275463,3.0
6.271747685,3.0
6.276585648,2.5
6.27962963,2.5
6.2825,2.0
6.285428241,2.0
6.293935185,2.0
6.296770833,2.0
6.304722222,2.0
6.312893519,2.0
6.321678241,2.0
6.322604167,2.0
6.336967593,1.5
6.337314815,1.5
6.337384259,1.5
6.337789352,1.5
6.337974537,1.0
6.350081019,1.0
6.372928241,1.0
6.374282407,1.0
6.375925926,1.0
6.394618056,1.0
6.395335648,1.0
6.422199074,1.0
6.422210648,1.0
6.445810185,1.0
6.465081019,1.0
6.474027778,1.0
6.567974537,1.0
6.856319444,1.0
6.8775,1.0
6.878009259,1.0
6.881331019,1.0
6.885092593,1.0
6.897106481,1.0
6.922094907,0.5
6.940300926,0.0
6.941655093,0.0
6.941678241,0.0
6.944965278,0.0
6.950763889,0.0
6.961076389,0.0
6.969641204,0.0
6.97431713,0.0
6.976805556,0.0
6.985451389,0.0